picture_id,mid_year,cluster_id,cluster_rank
11911,1909,5,3
11911,1909,6,4
14302,1885,91,1
14302,1885,65,2
14302,1885,93,3
14302,1885,44,4
14301,1849,75,1
14301,1849,44,2
14301,1849,43,3
14301,1849,79,4
14300,1820,27,1
14300,1820,15,2
14300,1820,5,3
14300,1820,50,4
14306,1855,93,1
14306,1855,90,2
14306,1855,73,3
14306,1855,26,4
14305,1841,93,1
14305,1841,62,2
14305,1841,73,3
14305,1841,14,4
14304,1838,36,1
14304,1838,73,2
14304,1838,45,3
14304,1838,3,4
14308,1836,41,1
14308,1836,94,2
14308,1836,82,3
14308,1836,88,4
324706,1805,99,1
324706,1805,8,2
324706,1805,97,3
324706,1805,11,4
7704,1882,44,1
7704,1882,52,2
7704,1882,103,3
7704,1882,55,4
4240,1796,89,1
4240,1796,103,2
4240,1796,1,3
4240,1796,97,4
7777,1873,30,1
7777,1873,4,2
7777,1873,100,3
7777,1873,13,4
7776,1872,65,1
7776,1872,8,2
7776,1872,92,3
7776,1872,97,4
7775,1872,40,1
7775,1872,64,2
7775,1872,43,3
7775,1872,69,4
7774,1872,89,1
7774,1872,8,2
7774,1872,103,3
7774,1872,43,4
7773,1858,94,1
7773,1858,71,2
7773,1858,90,3
7773,1858,73,4
7772,1835,27,1
7772,1835,50,2
7772,1835,70,3
7772,1835,4,4
7771,1861,59,1
7771,1861,23,2
7771,1861,57,3
7771,1861,71,4
7770,1834,59,1
7770,1834,71,2
7770,1834,65,3
7770,1834,69,4
7779,1863,22,1
7779,1863,20,2
7779,1863,87,3
7779,1863,103,4
7778,1865,109,1
7778,1865,28,2
7778,1865,4,3
7778,1865,64,4
4241,1798,103,1
4241,1798,84,2
4241,1798,1,3
4241,1798,8,4
10322,1815,108,1
10322,1815,23,2
10322,1815,63,3
10322,1815,60,4
19260,1917,87,1
19260,1917,84,2
19260,1917,47,3
19260,1917,17,4
318136,1810,109,1
318136,1810,40,2
318136,1810,29,3
318136,1810,30,4
318138,1810,96,1
318138,1810,15,2
318138,1810,67,3
318138,1810,26,4
335252,1845,99,1
335252,1845,0,2
335252,1845,102,3
335252,1845,70,4
11476,1815,13,1
11476,1815,27,2
11476,1815,31,3
11476,1815,63,4
11477,1866,12,1
11477,1866,15,2
11477,1866,38,3
11477,1866,96,4
11475,1806,32,1
11475,1806,57,2
11475,1806,6,3
11475,1806,23,4
11472,1906,80,1
11472,1906,85,2
